ECONOMY,"1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"          Belgium",2.8832232812,3.0019944917,2.6726701871,3.2051317275,3.0781644933,2.8105422747,2.7191480893,2.9621238799,3.0460788179,2.8125752056,2.7949829489,2.804889518,2.9115825143,2.8856819133,3.0223500283,3.0869581659,3.196882198,3.3689837166,3.2986159877,3.237296572,3.3644320386,3.6400841207,3.6460457592,3.5874624157,3.8471356277,3.8590675309,3.3630783414,3.2841657868,3.310281769,3.3192934322,3.4300118136,3.4073988089,3.1480943326,2.7468131353,2.7591435083,2.7961541841,2.6371446759,2.7343323178,3.2143478827,3.2975325974,3.2052169788,3.2242024442,3.3671032228,3.3610085787,3.2515732908,3.305964498,3.275812229,3.4442196429,3.2728419671,3.1170144199,3.2984189934,3.1334164823,2.912226118,3.0725841904,3.3251469751,3.3678177974,3.3269097045,3.1840085515,3.0240068807,3.0736679319,2.9218137354,2.9478438829,2.6642816941,2.5937614236,2.4088361382,2.4729840229,2.4870814614,2.4005065736,2.4839666692,2.4280100851,2.3963840446
"          Belize",0.0102362957,0.0085332419,0.0053712258,0.005265401,0.0054313171,0.0065058849,0.0059929366,0.0061009956,0.0067029099,0.0055262777,0.0058224235,0.0056793498,0.0060442979,0.0063741997,0.0060467931,0.0082914166,0.0076696629,0.0064407971,0.0065021167,0.0064604225,0.0062232935,0.0060781107,0.0059091086,0.0054344728,0.006080818,0.0055458521,0.0053322133,0.0075924385,0.0042527695,0.0054895939,0.006088353,0.0052121183,0.0053971234,0.0058700257,0.004796407,0.0041845678,0.0047360665,0.0045859178,0.0043263241,0.004080646,0.0040442056,0.0040151978,0.0036916757,0.0034018984,0.0037265731,0.0032413448,0.003495753,0.0031235146,0.0030978997,0.0031515175,0.0031242209,0.0034626636,0.0030344366,0.00272236,0.0042271038,0.0039894719,0.0033065335,0.003038436,0.0034576775,0.0029695297,0.0029051261,0.0030342969,0.0031251132,0.0032918788,0.0033882255,0.0032126741,0.0031016946,0.0032538494,0.0027620593,0.0025777943,0.0021308063
"          Benin",0.0167397555,0.0193824056,0.0206630409,0.0193938246,0.0139132032,0.0184556464,0.0168483774,0.0166909612,0.0146935851,0.0132109818,0.0167204776,0.0097950543,0.0141233251,0.0107210793,0.0076884343,0.0081995732,0.0075720438,0.007224294,0.0050753881,0.0070043908,0.0091826104,0.0097852965,0.0103019652,0.0119288904,0.0086808262,0.0074754718,0.004082958,0.0036304375,0.0025144413,0.0027408178,0.0020764594,0.0027609546,0.0030640508,0.0016592945,0.0012568342,0.0035815043,0.0084693238,0.0101254607,0.0087810951,0.0045249506,0.0024527816,0.007027918,0.0082387512,0.0093836059,0.0088592248,0.0101412675,0.0092084542,0.0081140035,0.009758154,0.0075720714,0.0073870449,0.0073739871,0.0060753361,0.0060370603,0.0068925346,0.0071278154,0.0061641617,0.0055056856,0.0060687167,0.0074664871,0.0079402091,0.0097542997,0.0083753598,0.0076892995,0.0077926593,0.0104585539,0.0134834938,0.0101737534,0.0110675971,0.0111652945,0.0115454199
"          Bermuda","..","..",0.0048535173,0.0048306431,0.005017383,0.0086745132,0.0105757704,0.0042856034,0.0052317268,0.0060356487,0.0081890987,0.0095320429,0.00795464,0.0081636162,0.0076430851,0.0102239544,0.0088045561,0.011956362,0.0108093406,0.0114141903,0.0113300501,0.0118510172,0.0251451432,0.0258164237,0.0081101392,0.0051213633,0.0040712073,0.0041274407,0.0047305556,0.0034574131,0.0031440694,0.0018809803,0.0018047643,0.0014496631,0.0009101232,0.0012252925,0.0020601978,0.0011733323,0.0030360169,0.0011507912,0.0010784363,0.0016119078,0.0017164065,0.0013860723,0.0022172026,0.0009254791,0.0007483948,0.0010806887,0.001256732,0.0010179436,0.0008167494,0.0008911691,0.0007904136,0.0005811074,0.0008615668,0.0006851135,0.0007914336,0.0004665561,0.0002226296,0.0001928139,0.0001486171,0.0002283409,0.0000959342,0.0000735588,0.0000594189,0.0000633249,0.0001158762,0.0001330788,0.0001185165,0.0001015068,0.0000924205
"          Bhutan","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",0.0008159486,0.0009779677,0.0008882528,0.0008566819,0.000922871,0.0011189397,0.0014348683,0.0021890032,0.0026046671,0.0022497397,0.0019961464,0.0017969492,0.0017475688,0.0017271026,0.001536401,0.0019958903,0.0018536057,0.0021020177,0.0019600171,0.0020243691,0.0015963256,0.0017110385,0.0017339648,0.0017507548,0.0019840047,0.0024584649,0.0034163494,0.0048108912,0.0032287994,0.0039491434,0.0041909801,0.003678725,0.0028910516,0.0028685482,0.0030711326,0.0033218527,0.0032729841,0.0032297717,0.0031833732
"          Bolivia (Plurinational State of)",0.1927835685,0.1518917054,0.1213379322,0.1569959022,0.1530301826,0.1202039685,0.0940068484,0.0915681717,0.076824182,0.0670921895,0.0485049431,0.0517538598,0.039158942,0.042587672,0.0418608037,0.0427326854,0.0548036948,0.0679697997,0.0615110768,0.0685217108,0.0626199355,0.0621592165,0.0597825779,0.0510521329,0.0479224671,0.0447689642,0.066053261,0.0506352599,0.0571893977,0.0558580015,0.0479852143,0.0456603459,0.04595808,0.0450041715,0.0436195103,0.0406564555,0.036818286,0.0317196592,0.0297903322,0.0225991578,0.0208799178,0.0264926717,0.0264921621,0.0241293738,0.0187517639,0.0192367437,0.0238941972,0.021264485,0.0210151456,0.0208321255,0.0200350451,0.0183685669,0.0190551676,0.0207385936,0.0199811346,0.0210458828,0.0234810426,0.0269147352,0.0325826182,0.032124904,0.0404061036,0.039506551,0.0418365628,0.0455760324,0.0607906687,0.0615131663,0.0647835813,0.0527834108,0.0441750642,0.0442460569,0.0460298108
"          Bonaire, Sint Eustatius and Saba","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.0000322906,0.0000238852,0.0000154143,0.0000074846,0.0000085957,0.0000088638,0.0000055892,0.0000050889
"          Bosnia and Herzegovina","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.0072883915,0.0025120146,0.0021061332,0.0029364965,0.0062097343,0.0102687288,0.0109807424,0.0131229012,0.0165676895,0.0166584124,0.0154664476,0.0176548477,0.0194353751,0.0228517268,0.0273999259,0.0296129593,0.0310924496,0.0314908202,0.0313884614,0.0318995382,0.0278826188,0.0300160114,0.0310270152,0.0308267652,0.0332251862,0.0359247453,0.0385085472
"          Botswana","..","..",0.0048535173,0.0072821945,0.0071999447,0.0074600813,0.0078965753,0.0083476101,0.0077774881,0.005932362,0.0066625658,0.0079582165,0.0058047373,0.0064769975,0.0065044712,0.0072039654,0.0067488467,0.0075530781,0.0072813858,0.0058999981,0.0043175231,0.0066286329,0.008054618,0.0119587719,0.013883939,0.0146608476,0.0143400265,0.0161655433,0.017150579,0.0164784199,0.0177545293,0.0270755996,0.0246023523,0.0196244626,0.0250244345,0.0346505839,0.0381639703,0.0426821241,0.0486939748,0.0752252352,0.0625590448,0.0597685738,0.051053939,0.0524139789,0.0461149209,0.0464635449,0.0427674654,0.0413831567,0.0468779499,0.0507455577,0.0373526741,0.0462009997,0.0414579694,0.0405161,0.0373089204,0.0370224791,0.0380873828,0.0421361657,0.0373442685,0.036905533,0.0306577074,0.0275228647,0.0306704511,0.0320731511,0.032254961,0.0417468758,0.0448247956,0.0382463556,0.0459191913,0.033335302,0.0305973944
"          Brazil",2.0182562968,1.8773132125,2.1986433319,2.138767253,1.7761535951,1.9071536864,1.8354837146,1.5151338178,1.4231679723,1.2288464175,1.1375781943,1.0876794804,0.9735987943,1.0301811003,0.8469835952,0.8967485912,0.8163467041,0.840928685,0.8405870074,0.7560701116,0.7744122203,0.8337199607,0.8609068392,0.8186382882,0.9505892948,1.0653466766,0.9437367083,0.9885334458,1.0193844068,1.0717096382,0.9660382127,0.9160914893,0.9819869089,1.1489282855,1.0632156826,1.1789403045,1.3723641333,1.3045562124,1.0438760329,1.0406326847,1.1651982144,1.1084316178,0.8986475045,0.899131428,0.9451934737,1.0194760212,1.0078217813,0.8984578155,0.8824235805,0.9464071247,0.9281885415,0.8389710131,0.8542495965,0.9408548665,0.9298567614,0.9644711543,1.0481377587,1.1285801353,1.1362929848,1.1457929683,1.2257319098,1.2185197312,1.3195205833,1.3961443204,1.3103365734,1.2772296971,1.1856280902,1.1561785321,1.1551333826,1.2283784583,1.2306363116
