ECONOMY,"1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    Developing economies: Oceania",74.063,71.401,72.062,88.494,106.226,121.963,126.597999,148.656999,147.414999,179.936999,171.238,172.292999,185.213999,179.358,170.249,211.811,247.728,248.79,268.822,286.629,355.688,400.184,586.605,624.139,797.399,1011.064,1383.263,1167.019,1217.754,1451.22,1482.373,1928.209,2250.617,2087.734,1905.29,1737.219,2013.275,1936.175,2038.068,2336.572,2992.858,3243.799,2778.11441,2947.25154,3381.44091,4387.65714,4837.25802,5137.880306761,5301.121127423,5163.785038954,4728.712166478,4992.636134899,5171.92045,4534.773,4338.3647,5441.4118,6103.02,6709.96,7756.886,8892.0414,9214.451693999999,7070.736125,9078.234893999999,10931.102084,10405.943,9649.683000000001,13063.665402,11754.802,11766.236,13838.507217,14054.0331750146
"  Transition economies",1599,1637,1954,2478,3049.7,3145,3473.3,3696.7,3954.3,4806,4768.3,5960.7,6179.1,6615.9,7761.3,8110.3,8636,9266.5,10061.1,10903.7,11897.7,13129.5,14478.9,15624.68,17598.2,24315.6,31210,37388.3,42047.1,50415.3,57890,71252,85477.5,90364.7,97284.2,101293.5,101404.3,97479.60000000001,107293,119062.7,123421.093,122885.6,118378,60327,67167.17545,65047.19558,92257.19,116960.316,128275.815048,127745.350896,111338.492016,110142.642345,149573.3,148716.19,157933.726,200401.058,273546.93,353871.262,444687.906,538750.928,724495.668,466797.667,609144.6976,810636.736,822653.519,806152.254404,762014.041692,521470.511928,443198.506686,550020.490704,677175.30137
"  Developed economies",38390.345,39802.947,38829.92,53458.403,52913.886,53232.842,56474.227,62967.124,70970.88000000001,78264.674,74729.427,80513.177,92047.063,97786.122,102998.022,112632.792,127370.101,139239.151,152895.909,162075.442,182111.339,209344.785,242848.935,270355.403,322966.079,438937.534,583245.5649999999,625747.9520000001,696538.662992,788301.621304,939848.170008,1152193.310271,1356328.939306,1333216.485842,1266202.980863,1255341.476938,1337097.960377,1362033.452,1569614.268478,1831215.926,2094190.766,2235354.904,2534229.8967,2569407.9965,2748020.839072,2683733.129398,3034807.793168,3625777.24308266,3731936.08204585,3813884.716902962,3863554.41806977,3940969.7063841,4243212.4046013,4118645.659237,4269740.125253615,4921642.577335176,5822921.913618544,6340660.596072001,7130195.982814,8179913.839273,9121710.131704999,7082818.954156,8254559.7696,9628859.745937999,9445839.304644,9708152.708524,9757361.559327001,8612098.383606,8550734.088912001,9315920.383388,10113281.52002945
"    Developed economies: America",15860.91,15106.99,13021.678,17889.819,17845.97,16661.416,17067.376,18875.724,22502.083,24857.315,21657.953,22044.636,25464.471,26296.845,27207.258,29232.256,33753.903,35209.235,39422.623,41973.327,47274.557,51730.29,60108.201,62035.755,70444.425,97325.99400000001,134075.635,143060.099,157533.561,166861.36,194425.867,244857.477463,293528.531306,311663.611842,287871.042863,282597.307938,314465.084377,309969.36,317828.585478,352695.8,439966.59,486142.093,521758.5267,549312.8755,583040.2746,610304,678332.336,777382.939,827154,903951,896749.5,934582.2,1058864.5,989267,945861.4369206155,997916.6983501762,1132099.443074544,1262015.440519,1414576.651874,1569358.609116,1744434.674359,1372530.71928,1666376.697692,1934350.011,2001782.843,2038466.893,2097415.539841,1912966.49939,1841656.232383,1967688.164523,2114626.158558
"    Developed economies: Asia",264.124,538.5,860.356,1396.23,1312.4,1332.32,1715.47,2099.66,2607.66,2999.36,3013.38,3635.19,4271.32,4480.86,5195.31,5803.72,7045.46,8880.709999999999,10279.79,10996.4,13610.6,16719.3,20096.2,24952.9,30235.3,38465.4,57293.6,57759.8,69718.2,84165,102132.3,106845.4,135978.5,157165.1,143640.3,152072.9,175507.3,183424.4,217911.3,239740.4,274608,285004,299660,326713.8,353013.6,377090.5,414157,462162.1,431532.2,443458.5,410928.1,445148.3,510700.2,432544,446073,503601.3,604293.4,637711.266,693514.459,768418.431,842749.648,628653.7340000001,828186.86,890980.0870000001,861708.223,781220.038377,758709.826652,688488.018713,705300.69747,759256.981238,795795.676344
"    Developed economies: Europe",20097.902,22030.63,22765.708,31439.586,31352.698,32562.168,35330.393,39478.292,43178.909,47405.481,47694.012,52004.764,59414.595,63852.798,67440.92,73882.458,82443.35799999999,91137.366,98946.216,104634.586,116690.182,135464.315,156652.424,176792.968,214032.934,290991.01,378425.4,410817.603,453298.971992,520712.091304,625136.063008,777121.412808,899456.708,837288.454,807760.568,795144.459,818496.246,840315.982,1005425.633,1204962.966,1337533.556,1418207.811,1663665.13,1641908.851,1759358.244472,1643073.629398,1882605.757168,2319476.10408266,2398587.68204585,2389342.516902962,2487900.21806977,2492685.7625111,2596479.8781783,2619717.659237,2798389.688333,3333220.578985,3979620.562544,4313106.623553,4876258.28794,5673835.049157,6316689.009346,4902370.841876,5515965.630908,6494128.056938,6288368.369644,6596039.978362,6619639.259214,5788547.839607,5777548.481607,6319840.438231,6906266.89392345
"    Developed economies: Oceania",2167.409,2126.827,2182.178,2732.768,2402.818,2676.938,2360.988,2513.448,2682.228,3002.518,2364.082,2828.587,2896.677,3155.619,3154.534,3714.358,4127.38,4011.84,4247.28,4471.129,4536,5430.88,5992.11,6573.78,8253.42,12155.13,13450.93,14110.45,15987.93,16563.17,18153.94,23369.02,27365.2,27099.32,26931.07,25526.81,28629.33,28323.71,28448.75,33816.76,42082.62,46001,49146.24,51472.47,52608.72,53265,59712.7,66756.10000000001,74662.2,77132.7,67976.60000000001,68553.443873,77167.82642300001,77117,79416,86904,106908.508,127827.266,145846.584,168301.75,217836.8,179263.659,244030.581,309401.591,293979.869,292425.798785,281596.93362,222096.025896,226228.677452,269134.799396,296592.791204
"Developed economies: Asia and Oceania",2431.533,2665.327,3042.534,4128.998,3715.218,4009.258,4076.458,4613.108,5289.888,6001.878,5377.462,6463.777,7167.997,7636.479,8349.843999999999,9518.078,11172.84,12892.55,14527.07,15467.529,18146.6,22150.18,26088.31,31526.68,38488.72,50620.53,70744.53,71870.25,85706.13000000001,100728.17,120286.24,130214.42,163343.7,184264.42,170571.37,177599.71,204136.63,211748.11,246360.05,273557.16,316690.62,331005,348806.24,378186.27,405622.32,430355.5,473869.7,528918.2,506194.4,520591.2,478904.7,513701.743873,587868.026423,509661,525489,590505.3000000001,711201.9080000001,765538.532,839361.043,936720.181,1060586.448,807917.393,1072217.441,1200381.678,1155688.092,1073645.837162,1040306.760272,910584.044609,931529.374922,1028391.780634,1092388.467548
"Developing economies: Asia and Oceania",7077.709,6707.862,9417.41,12709.601,10270.826,10120.03,10536.887999,11951.477999,12820.868999,13155.950999,13653.135,15039.176999,14945.694159,14548.3363,14799.636,16082.4577,17420.763,18750.3184,20337.891,20821.559,22047.25193,24618.02698,27390.56549,34259.46039,40283.25207,62235.66152,132092.80098,124386.2796,152774.04692,172907.107,188762.226,269111.731,375441.831,382929.251,340302.133,310596.585,328621.569,312797.54,300410.015,384982.599,453998.949,518895.697,592568.1961450001,643253.636603,722320.134841,779403.975829,908184.097818,1091062.482299761,1165263.892081423,1240518.725298954,1143858.006440478,1250045.884681899,1543629.408977,1435642.370996,1570156.28554,1897708.599649,2406478.25871,2910348.473988,3482179.556559,4078476.70718,4830823.908702,3907668.055977,5025399.914013,6177801.695084,6481379.66309,6726556.729319,6820907.966261,6086476.919508,5792707.428749,6449139.822795,7121225.195034933
"Developing economies excluding China",18105.609,17154.431,20476.924,26108.306,22939.249,23298.329,24002.655999,25845.272999,27558.697999,27992.476999,27043.847,28219.267999,29441.009159,29845.96461,30659.621954,34014.526884,36914.190084,38721.361284,41479.208484,43395.148684,46545.115314,52288.00128,58517.806274,65972.83069,75588.01007,112747.082504,220938.47698,206231.567584,248011.597904,284666.76,302710.619984,426966.527984,590223.424,581779.431,511737.193,478654.617,503130.947,478479.626,433113.767,530289.7885,609404.524,691135.899,780976.531445,815126.747213,886715.737291,941300.7694815,1072643.334566,1284718.787159661,1399599.587708323,1475102.556980954,1351040.782741408,1476776.540222918,1810329.239409,1661608.28240448,1746516.19185479,2029711.71222302,2533973.61590291,3046003.737426,3583908.135264,4081649.515762,4871983.22135,3804557.394072,4860690.097701,6001193.648645,6195433.738941,6226576.228237,6124107.955773,5124521.11353,4939952.188898,5603509.125375,6198693.833628599
"Developing economies excluding LDCs",17195.159,15685.227,19130.703,24308.323,21295.814,21859.734,22451.826,24391.288,26105.089,27214.971,26946.395,28272.723,28704.596,28614.333,29232.403,32277.505,35404.354,37470.382,39886.654,41583.842,44332.367,49540.022,55312.884,63258.896,73819.193,111494.394,218834.196,206104.041,246362.192,282454.877,303010.646,427964.41,593065.804,589906.591,521050.944,487849.54,515607.859,492608.196,451827.943,556402.1895,641844.773,727333.934,824856.255545,870671.297703,955041.798341,1015511.4989815,1175060.313266,1409762.1223529,1523944.3797809,1630898.576702,1509680.249631164,1643777.33377096,2024547.311148,1893520.90340448,2034378.52185479,2425029.00922302,3071551.52290291,3732714.190426,4457738.543264,5184232.358262,6150120.879606,4887627.177072,6286072.706538,7710347.217462,8054478.335108,8241199.511204,8277409.030612,7250665.968745,6891454.455496,7695829.373247,8492925.162310598
"M49 developing regions",18625.609,17154.431,21026.924,26868.306,23759.249,24318.329,25152.655999,27255.272999,29208.697999,30206.296999,29769.487,31391.727999,32012.289159,31787.62461,32572.851954,36045.556884,39164.570084,41284.521284,44160.158484,45783.638684,48884.855314,54717.11128,60825.056274,68755.34069,79280.55007,118623.182504,228046.36698,213920.567584,254955.037904,292186.41,312665.479984,440580.627984,608322.7240000001,603786.431,534058.193,500880.617,529269.947,505829.626,464055.767,569726.7885,656920.524,743673.899,843067.531445,887036.747213,980685.212741,1041951.7020615,1203430.634566,1446274.825159661,1564858.284708323,1672017.913980954,1546331.982741408,1684552.940222919,2077325.539409,1945854.28240448,2091387.55185479,2492804.43022302,3162161.61890291,3856567.599426,4621135.140264,5393264.432762,6432494.02035,5090724.256072,6548725.566701,8051418.438645,8397950.468940999,8588471.391237,8610374.558952,7486002.483417,7109743.495778,7956624.876745,8798152.634928597
"M49 developed regions",39989.345,41439.947,40783.92,55936.403,55963.586,56377.842,59947.527,66663.82399999999,74925.17999999999,83070.674,79497.727,86473.87699999999,98226.163,104402.022,110759.322,120743.092,136006.101,148505.651,162957.009,172979.142,194009.039,222474.285,257327.835,285980.083,340564.279,463253.134,614455.5649999999,663136.252,738585.762992,838716.921304,997738.170008,1223445.310271,1441806.439306,1423581.185842,1363487.180863,1356634.976938,1438502.260377,1459513.052,1676907.268478,1950278.626,2217611.859,2358240.504,2652607.8967,2629734.9965,2806158.539072,2739873.392398,3117283.683168,3729961.52108266,3846001.20009385,3927506.710798962,3963313.71008577,4038266.9487291,4374992.4046013,4249213.849237,4408398.491253615,5097178.917335176,6061606.840618544,6645920.996072,7506634.883814,8627505.850273,9716388.000705,7465061.759156,8753422.998199999,10287652.691938,10114690.093644,10361414.799928,10375401.99784,9045555.525647,8921773.288718,9776171.122722,10678043.02009945
"LDCs (Least developed countries)",1430.45,1469.204,1896.221,2559.983,2463.435,2458.595,2700.829999,2863.984999,3103.608999,2991.325999,2823.092,3119.004999,3307.693159,3173.29161,3340.448954,3768.051884,3760.216084,3814.139284,4273.504484,4199.796684,4552.488314,5177.08928,5512.172274,5496.44469,5461.35707,7128.788504,9212.170980000001,7816.526584,8592.845904,9731.532999999999,9654.833984000001,12616.217984,15256.92,13879.84,13007.249,13031.077,13662.088,13221.43,12227.824,13324.599,15075.751,16339.965,18211.2759,16365.44951,16613.93895,17533.2705,18589.0213,23736.664806761,26703.207927423,26995.980278954,25072.5331102442,27930.2064519584,34984.928261,34185.379,37733.67,42910.703,55748.093,75242.54700000001,95147.592,117873.1575,152555.341744,118542.217,152371.391163,189227.431183,189669.403833,194381.717033,188991.925161,147323.144785,146129.733402,171025.752128,192813.671318
"    LDCs: Africa and Haiti",1079.484,1139.399,1245.959,1694.108,1687.143,1719.664,1924.405,2041.775,2294.343,2193.123,2031.715,2282.644,2425.596,2254.07031,2397.902954,2723.630184,2714.117084,2755.933884,3211.541484,3207.655684,3573.132384,4124.6093,4522.800784,4714.9083,4732.411,6223.590984,7962.907,6704.833984,7326.192984,8326.079,8103.800984,10294.946984,12269.391,10954.239,10029.615,10212.169,10757.608,10403.859,9844.078,11012.346,12200.108,13406.437,14734.4841,12640.0152,12193.68435,12214.1235,12682.1971,15438.6729,17244.6809,16821.38942,15310.88324,16372.852696,20017.477522,19552.14,22123.761,26191.841,36425.52,51238.945,65706.86900000001,85606.621,114614.962,83308.491,107316.13818,134442.279101,134758.310833,134284.843527,127201.142468,86982.960333,82210.30463300001,100150.903461,111505.982038
"    LDCs: Asia",335.63,319.246,633.3680000000001,846.93,758.18,716.73,752.34,801.951,789.067,776.795,768.677,811.795,860.4281600000001,900.9953,923.606,1022.6127,1020.184,1031.0644,1031.986,955.959,941.15593,1012.85198,949.09849,736.20239,682.03607,835.67952,1132.26298,1031.7726,1183.58292,1288.477,1421.463,2141.56,2846.341,2798.963,2863.256,2700.723,2736.656,2690.627,2268.712,2210.426,2738.351,2809.408,3362.2048,3586.1756,4261.8127,5136.827,5716.9265,8077.619,9250.272999999999,9965.312,9592.935,11385.482,14852.246739,14542.097,15504.381,16573.599,19154.103,23831.14,29238.039,32012.927,37635.729,34974.088,44730.618,54240.645,54287.87,59513.433619,61200.37838,59844.407,63356.85,70236.19583,80492.261
"    LDCs: Islands",15.336,10.559,16.894,18.945,18.112,22.201,24.084999,20.258999,20.198999,21.407999,22.7,24.565999,21.668999,18.226,18.94,21.809,25.915,27.141,29.977,36.182,38.2,39.628,40.273,45.334,46.91,69.518,117.001,79.92,83.06999999999999,116.977,129.57,179.711,141.188,126.638,114.378,118.185,167.824,126.944,115.034,101.827,137.292,124.12,114.587,139.25871,158.4419,182.32,189.8977,220.372906761,208.254027423,209.278858954,168.7148702442,171.8717559584,115.204,91.142,105.528,145.263,168.47,172.462,202.684,253.6095,304.650744,259.638,324.634983,544.507082,623.223,583.439887,590.404313,495.777452,562.578769,638.652837,815.42828
"LDCs: Africa",1049.584,1104.039,1207.319,1643.128,1635.103,1681.444,1869.765,2005.735,2252.323,2158.803,1992.275,2254.664,2392.456,2222.13031,2355.382954,2682.470184,2673.777084,2719.193884,3176.041484,3173.995684,3537.512384,4087.3893,4482.440784,4667.5883,4688.411,6170.870984,7891.367,6625.073984,7201.852984,8177.519,7948.460984,10109.566984,12043.191,10802.739,9851.935,10046.169,10578.408,10235.459,9659.638000000001,10798.806,12020.828,13262.377,14574.2241,12473.4352,12120.28435,12133.8535,12599.9671,15328.3829,17154.6309,16609.00942,14990.88324,16038.612696,19699.807522,19278.14,21843.761,25845.291,36034.23,50768.795,65198.159,85084.871,114135.232,82732.211,106737.07818,133675.389101,133943.130833,133399.373527,126250.712468,86101.320333,81168.294633,99151.673461,110427.582038
"LDCs: Islands and Haiti",45.236,45.919,55.534,69.925,70.152,60.421,78.724999,56.298999,62.218999,55.727999,62.14,52.545999,54.808999,50.166,61.46,62.969,66.255,63.881,65.477,69.842,73.81999999999999,76.848,80.633,92.654,90.91,122.238,188.541,159.68,207.41,265.537,284.91,365.091,367.388,278.138,292.058,284.185,347.024,295.344,299.474,315.367,316.572,268.18,274.847,305.83871,231.8419,262.59,272.1277,330.662906761,298.304027423,421.658858954,488.7148702442,506.1117559584,432.874,365.142,385.528,491.813,559.76,642.612,711.394,775.3595,784.3807440000001,835.918,903.694983,1311.397082,1438.403,1468.909887,1540.834313,1377.417452,1604.588769,1637.882837,1893.82828
"LLDCs (Landlocked developing countries)",532.308,518.807,614.879,825.083,863.881,856.2140000000001,982.511,1082.628,1127.497,1108.589,1020.964,1165.154,1224.881,1256.702,1317.052,1482.605,1650.582,1819.91,1860.905,1855.947,1960.746,2362.144,2570.56,2824.53,2599.871,3535.491,4616.494,3980.16,4894.593,5345.658,5098.056,6954.225,8385.888999999999,7910.94,7622.776,7409.352,7481.547,7175.556,7804.553,9147.004000000001,9879.574000000001,10428.457,10707.8365,9727.562,19713.49625,20435.78428,23302.344148,28279.186314,30626.901264,31930.828942,27899.025345,28736.239726,33983.825927,34017.256656,35883.517961,44190.105142,60219.70341,78160.446541,104100.029993,133949.059272,179850.930503,125830.9204,164595.975459,220985.878,225189.759833,229174.006774,224630.543485,153822.313252,138625.023066,161905.54612,191633.780298
"SIDS (Small island developing States) (UNCTAD)",284.126,277.568,266.667,318.232,351.816,406.599,424.969999,439.487999,486.923999,585.196999,589.153,611.664999,630.775999,714.882,735.463,848.448,902.11,877.855,929.823,950.042,1009.396,1070.101,1224.468,1450.646,1668.425,2098.85,4922.991,5858.604,6549.134,7069.587,6914.002,8453.939,11515.786,12277.319,9812.531999999999,8495.745999999999,7862.546,7015.499,6470.134,6810.896,6715.221,7372.218,5951.48361,5862.66895,5603.311510000001,5571.17034,6076.71952,7220.003926761,7693.032227423,7392.117938954,7032.0925350082,7751.8285439184,9409.193135,9157.68,8871.766,10621.139,12459.679,16365.563,21598.505,21311.0145,27589.199744,15455.281,18102.775202,23591.86086,22362.022,27925.463127,23897.038937,18434.860887,15032.488743,16755.808574,18625.669284
"High-income developing economies",11137.884,9804.967000000001,12649.617,15935.484,14383.46,15047.064,15126.87,16519.443,17823.211,19119.563,18931.946,19897.936,20027.216,19764.345,20529.472,21690.404,23385.719,24891.46,26672.389,27997.821,29595.533,33298.88,36638.241,41594.245,50954.979,78911.563,152201.393,141355.226,169057.435,193487.549,213713.394,300657.161,421394.969,449676.993,384212.547,357257.781,385346.109,366686.236,354142.397,440713.975,519680.878,584193.395,655839.698235,711572.491163,788891.401231,848855.364989,990945.155598,1195828.0662189,1282317.0974169,1372293.53356,1273345.2132814,1371063.469261,1682783.705939,1583141.176602,1702638.064435,2045062.037921,2595916.6171079,3135367.545092,3735456.088641,4344619.785335,5091575.264772,4074811.995241,5225638.006691,6387537.215672,6711848.805023,6929878.1707,6951041.570014,6173090.393606,5842923.813504,6461918.83936,7107523.13038995
"Middle-income developing economies",6632.847,6409.266,7328.146,9513.562,7918.783,7868.416,8586.051998999999,9183.498999,9681.019999,9388.366999,9191.727000000001,9770.354998999999,10146.874999,10321.933,10267.368,12243.398,13370.847,13954.164,14948.935,15272.24,16588.108,18479.473,20721.828,23772.009,24447.399,34971.557,69720.17,67121.94,79754.924,91713.602,92018.393,130932.308,174835.765,143080.538,139229.047,133186.3,133008.384,128757.062,98655.969,118209.5975,124967.372,147074.431,173756.48811,163332.72885,172048.66671,172819.3889925,190287.872868,222108.062040761,251323.137391423,268137.210000954,245675.1101800082,284987.5415619184,359115.88697,327629.27680248,351295.2007197901,402227.37450202,505552.75579501,642380.4723340001,782135.995623,918859.080527,1165324.617628,891077.0847060001,1161265.316155,1447953.638484,1466516.77509,1439740.483809,1446133.633562,1172265.065779,1143411.00833,1345656.985103,1515197.07386592
"Low-income developing economies",847.878,937.198,1047.161,1413.26,1452.006,1397.849,1433.734,1543.492,1693.471,1689.358,1633.55,1708.592,1822.24016,1684.65861,1758.967954,2087.754884,2388.004084,2415.897284,2511.967484,2478.780684,2662.525314,2909.87228,3334.155274,3251.59169,3662.76907,4653.543504,6021.82098,5364.912584,6052.608904,6873.329,6795.332984,8841.158984,11895.205,10746.505,10364.915,10212.791,10602.718,10155.305,10955.788,10465.787,11833.221,12015.849,13054.7271,11706.5142,10303.15035,10763.7815,11625.0791,14738.2209,15989.0139,16063.05742,14035.52528,14051.0304,16099.0465,15508.729,16812.136,19142.004,24364.195,28921.487,34141.1,37688.162,45015.132,39565.672,50969.18318,63515.394101,65061.531833,65303.450728,68590.26286,51973.367145,50493.168064,58571.504207,62188.564291
"Low-income economies (World Bank)",1038.878,1170.198,1302.461,1612.86,1662.106,1644.849,1732.434,1815.226,1997.33,2033.511,1889.322,1941.062,2046.36516,1916.5693,2045.660984,2382.529684,2650.302984,2654.737384,2764.785984,2698.746984,2911.333914,3163.56298,3599.537474,3482.98839,4045.25007,5036.903504,7008.92298,6577.555584,7429.022904,8404.745000000001,8158.630984,10846.154984,14238.868,13054.88,12689.452,12452.314,12777.672,11974.462,12551.212,11953.419,13372.09,15229.108,17537.7029,15355.9182,13667.85235,14433.8604,15410.5515,19407.5689,21074.3949,21010.15542,17913.7748537662,18710.6875930594,21875.490572,21791.479,24482.878,26159.476,33037.116,38852.944,46003.163,50166.103,61339.188,51365.189,64191.170163,74418.526101,69359.088833,68647.698615,71881.85003,54859.932271,53478.613932,61848.165301,65805.59054999999
"Lower-middle-income economies (World Bank)",5270.944,4942.431,5695.009,7922.511,6577.545,6302.638,6768.175999,7048.099999,7031.634999,7127.638999,6795.36,7482.690999,7788.080999,7830.61431,7642.71697,8524.6682,8951.052100000001,9439.838900000001,10124.3575,9717.857700000001,9996.232400000001,11173.9123,12627.6838,13663.5213,15836.895,22788.818,38799.169,35795.857,43115.455,50989.573,51746.614,69989.31200000001,92296.984,83243.82700000001,75181.107,72312.408,76137.469,73131.94500000001,62142.373,74116.14599999999,83340.057,94681.226,107220.471,110722.04931,132118.57505,137806.55464,155723.1948,188052.33592,210449.9289,226596.8746,214597.464654764,232234.41217196,278153.092299,262843.185091,284426.394057,328653.170109,409136.53839,499521.467398,596199.646449,707438.93132,886316.0227419999,707031.952482,928202.998302,1183497.855484,1179415.41509,1189635.241535,1214294.166157,1014666.758716,997642.0128800001,1158594.090762,1282491.36850892
"Upper-middle-income economies (World Bank)",9833.718999999999,8874.635,11031.604,13553.685,13229.29,14374.742,15039.761,16784.212,18467.978,20222.227,19977.895,22130.388,22583.411,22920.309,24443.263,26604.274,29310.642,31150.001,33041.487,35768.264,38508.127,42469.043,46387.807,50752.461,56160.494,81108.654,127120.813,133703.118,148638.96,171843.07,192376.317,257766.537,333837.815,324748.823,327160.1,332287.549,348144.178,337590.36,321266.509,375880.6075,409380.345,439906.508,459553.755061,405592.232079,430883.933505,452658.3759535,553628.49121,669740.734813761,722244.765993423,785422.399856954,742812.8698414781,811860.407388899,1017092.776593,993317.69961648,1085858.61244579,1320470.32813302,1713724.68372501,2141185.259526,2627075.981284,3149032.710167,3811051.418896,2928767.322594,3787755.385611,4638389.568901,4858847.483,4969738.057356,5027889.449747,4421383.032985,4114747.766663,4610309.502029,5157184.603889
"High-income economies (World Bank)",42469.413,43604.114,43780.192,59713.264,58251.894,58372.306,61557.936,68269.5,76635.07000000001,83891.03599999999,80602.36199999999,86309.053,97818.314,103519.047,109195.864,119273.049,134254.098,146541.021,161182.081,170573.673,191474.53,220380.356,255531.247,286831,343795.044,472931.891,669562.034,700968.853,794344.018992,899656.057304,1058108.693008,1325414.594808,1609735.98,1606301.57,1482498.758,1440445.73,1530691.308,1542615.888,1744954.196,2057995.733,2368394.901,2552043.451,2911307.476484,2985038.297624,3210123.323308,3176895.380466,3595909.135224,4298981.94268266,4457010.462045849,4566409.413902962,4534194.990069769,4659880.543798099,5135080.5506233,4917010.024934,5104897.929985,5914510.468166,7067702.960406,7822729.875537,8858312.883397,10113919.622421,11389940.903108,8868416.337647,10521773.359082,12442517.632709,12404739.859505,12721619.149659,12671436.672975,11040372.648315,10865291.675138,11901731.848721,12970311.34885344
"High-income OECD members (World Bank)",38434.793,40055.399,39079.186,53767.527,53311.722,53058.837,56219.273,62748.505,70741.19,77868.97900000001,74198.13000000001,79942.20200000001,91179.432,96779.439,101882.88,111368.155,125976.741,137614.222,151299.679,160216.11,180160.394,207409.328,240803.148,267817.12,319911.009,436013.534,580981.998,621683.16,694085.971,786272.216,938505.35,1151318.92,1355325.479,1335026.669,1268890.988,1260062.322,1345061.167,1371362.532,1583057.51,1855424.73,2131017.65,2276554.17,2594502.58,2638965.95,2818539.440512,2759749.317032,3124496.11904,3744970.931792,3856521.073472,3946815.141168,3991254.545184,4081081.3067841,4410615.4245583,4262385.457,4421895.128,5101318.12,6062912.687,6612883.314,7450824.171,8541864.751,9515308.370999999,7428820.725,8703459.546505,10152850.395097,9966814.966,10228780.128212,10284112.331076,9094260.834247001,8994764.705223,9832482.880563,10653203.950952
"High-income non OECD members (World Bank)",4034.62,3548.715,4701.006,5945.737,4940.172,5313.469,5338.663,5520.995,5893.88,6022.057,6404.232,6366.851,6638.882,6739.608,7312.984,7904.894,8277.357,8926.799000000001,9882.402,10357.563,11314.136,12971.028,14728.099,19013.88,23884.035,36918.357,88580.03599999999,79285.693,100258.047992,113383.841304,119603.343008,174095.674808,254410.501,271274.901,213607.77,180383.408,185630.141,171253.356,161896.686,202571.003,237377.251,275489.281,316804.896484,346072.347624,391583.882796,417146.063434,471413.016184,554011.01089066,600489.3885738499,619594.2727349621,542940.44488577,578799.237014,724465.126065,654624.5679340001,683002.801985,813192.348166,1004790.273406,1209846.561537,1407488.712397,1572054.871421,1874632.532108,1439595.612647,1818313.812577,2289667.237612,2437924.893505,2492839.021447,2387324.341899,1946111.814068,1870526.969915,2069248.968158,2317107.397901436
"HIPCs (Heavily indebted poor countries) (IMF)",1611.43,1514.913,1704.713,2211.752,2254.61,2262.7,2622.488,2688.72,2848.226,2726.993,2634.563,2828.958,2980.771,2871.56731,3054.27897,3429.8112,3525.1991,3674.0019,4075.4205,4147.2977,4704.9934,5261.3163,5723.1238,5883.5213,6042.816,7962.162,10722.912,9466.645,11263.878,13296.793,13470.632,16509.226,19629.512,16990.005,15874.996,15280.529,16025.511,15559.552,16373.549,16429.83,16942.854,18377.674,19864.5139,17455.18211,17489.81195,17477.9764,18801.0925,23060.1805,24261.274,24832.49432,25277.8524137662,24277.9580170594,25797.36397,26337.505,28880.328,33568.94,42504.761,49945.131,61176.049,67496.302,83478.46400000001,73151.788,93757.132729,118521.824101,123888.579833,124998.055657,129085.653276,103046.603244,101207.495581,118486.18024,128683.05828
"LIFDC (Low-income food-deficit countries) (FAO)",3743.502,3607.183,4025.247,5490.784,4779.782,4522.54,4798.015,4991.226,5097.39,5196.1,4962.383,5395.672,5579.45316,5622.41361,5824.658954,6587.416884,7232.104084,7495.848284,8090.128484,7693.471684,7832.382314,8635.83628,9996.585273999999,10390.42469,12656.23407,16613.237504,26351.96398,24671.696584,30779.631904,35599.143,34257.222984,47121.857984,61572.83,51105.988,44684.331,43114.23,45126.041,44746.753,39665.105,44215.477,47739.977,54031.777,65823.8547,62337.39361,67974.4414,68658.66098,74277.02650000001,91191.3769,102716.3629,103068.09542,92397.5258537662,99145.7104210594,118536.58102,116170.648,127104.228,151366.631,198516.353,247662.647,295058.553,345945.393,439065.07,360602.291,480682.714729,619749.166585,599086.292833,598167.614706,625272.433035,489127.937576,466698.905229,532463.79449,585563.856865
"Selected LIFDC (Low-income food-deficit countries)",2665.524,2447.785,2836.404,3851.877,3154.763,2897.641,2998.751,3151.499,3124.636,3324.975,3080.015,3252.203,3386.448,3567.548,3686.637984,4174.502984,4752.069984,4888.933984,5280.125984,5003.585984,4941.305984,5224.603,5866.978984,5747.498,7342.211,8811.747984,11685.048,12168.953984,14974.532984,17469.374,17915.484984,21570.422984,24352.766,23403.539,23316.639,23210.048,24156.629,23557.223,24995.437,27377.045,29734.862,34170.424,39789.4691,38579.14401,41821.54185,43756.6207,49119.9333,59275.5098,65419.4014,67307.60890000001,64559.3969737662,67310.8624210594,76618.91027199999,77663.178,87636.779,101048.228,126300.862,156664.92,186700.296,220476.756,279113.684,241180.393,316435.900483,406959.844183,394493.276,417201.003808,427942.999398,366706.295492,363934.599979,404950.415788,439286.182836
