ECONOMY,"1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"          Benin",9.811999999999999,11.357,12.772,16.059,11.092,14.893,14.338,15.676,15.301,14.965,18.27,11.545,18.394,14.601,11.02,12.856,13.264,13.711,10.512,15.323,22.304,27.124,32.776,42.316,36.446,43.498,34.399,31.841,24.982,30.996,27.21,45.943,62.817,33.64,23.849,66.527,166.657,199,188,114.029,70.506,218,288,330,335.485,383.525,397.871,420,528,424,407,422,392,374,448,541,568.568,578.234,736,1046.859,1282.255,1224.729,1281.61,1410.146101,1442.627,1981.884058,2559.946,1681.879951,1774.303682,1979.918898,2248.608566
"          Bermuda","..","..",3,4,4,7,9,4.025,5.448,6.837,8.948,11.235,10.36,11.118,10.955,16.03,15.423,22.692,22.388,24.97,27.52,32.85,80,91.58,34.05,29.8,34.3,36.2,47,39.1,41.2,31.3,37,29.39,17.27,22.76,40.54,23.06,65,29,31,50,60,48.745,83.962,35,32.336,55.939,68,57,45,51,51,36,56,52,73,49,27,27.034,24,28.67,14.68,13.49,11,12,22,22,19,18,18
"          Bhutan","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",16.728,19.827,16.855,15.913,18.16,21.991,30.72,55.163,74.872,69.785,69.7788,63.1946,66.1777,65.316,66.3835,103.312,100.296,117.703,107.99,115.851,103,106,112.704,132.882,183,258.2,414.327,674.524,521.415,495.846,641.31,674.644,535.21,543.586619,583.0783730000001,549.154,524.709,572.72883,620
"          Bolivia (Plurinational State of)",113,89,75,130,122,97,80,86,80,76,53,61,51,58,60,67,96,129,127.4,149.9,152.1,172.3,190.2,181.1,201.2,260.5,556.5,444.1,568.2000000000001,631.7000000000001,628.8,759.8,942.2000000000001,912.4,827.7000000000001,755.2000000000001,724.5,623.4,637.8,569.5,600.2000000000001,821.78,926.08,848.5750000000001,710.1,727.5,1032.4,1100.7,1137.1,1166.5,1103.86,1051.2,1229.5,1284.77,1298.731,1597.379,2165.837,2826.717,3951.545,4504.159,6525.134,4960.358,6401.893,8358.221,11253.958,11656.675,12299.666,8725.920169000001,7081.93283,7846.063,8964.856019999999
"          Bonaire, Sint Eustatius and Saba","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",5.921788,4.421788,2.921,1.421,1.421,1.421,0.991118,0.991118
"          Bosnia and Herzegovina","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",276,95,91,152,336,575,605,751,1069,1032,1005.286,1340,1792.674,2400,3323,4151.965,5021.083,3953.92,4803.109,5850.079,5161.809,5688,5890.719783,5096.144577,5326.501295,6370.461802,7500
"          Botswana","..","..",3,6.03,5.74,6.02,6.72,7.84,8.099,6.72,7.28,9.380000000000001,7.56,8.821,9.323,11.295,11.822,14.335,15.081,12.907,10.487,18.374,25.626,42.422,58.291,85.30800000000001,120.815,141.781,170.398,186.355,232.656,450.545,504.38,397.86,474.85,643.64,750.98,838.85,1042.52,1895.68,1798.28,1853.97,1784.68,1843.28,1746.3,1757.17,1847.86,2142.09,2536.5,2841.51,2058,2644,2675,2510,2425,2810,3513.092,4425.346,4529.027,5174.44,4950.877,3455.712,4693.238,5881.918,5971.245,7910.985446,8510.335531999999,6322.718457,7361.542856,5911.281094,5959.208404
"          Brazil",1183,1100,1359,1771,1416,1539,1562,1423,1482,1392,1243,1282,1268,1403,1214,1406,1430,1596,1741,1654,1881,2311,2739,2904,3991,6199,7951,8670,10128,12120,12659,15244,20132,23293,20175,21899,27005,25639,22349,26224,33494,34382.6,31413.8,31620.4,35793,38554.8,43545.1,46506.3,47746.7,52994.3,51139.9,48012.8,55118.9,58286.6,60438.7,73203.2,96677.8,118529,137807,160649,197942,152994.73,201915,256039.9,242577.9,242033.574,225100.7,191134.32473,185185.402117,217825.846113,239681.135845
"          British Virgin Islands","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1,2,1,3,3,2,3,3,3,3,3,13,15.2,18,17.8,19.2,20.7,22.4,23.1,25.4,27,28,30,31.3,32.1,35,36,38,38.8,36.9,37.8,38.5,40,26,25,23,23,23,23
"          Brunei Darussalam",24,26,69,92,94,92,89,99,108,111,107,101,83,77,65,60,61,65,74,81,92,88,95,212,176,347,980,1049,1333,1640,1845,2666,4581,4037,3808,3369,3204,2972,1797,1902,1708,1883,2213,2682,2401,2167,2210,2402,2481,2467,2058,2579,3902.8,3640,3702,4421,5057,6249,7636.103,7667.972,10319.089,7200.223,8907.472,12464.938,13000.828,11447.187,10508.832881,6352.662,4875.075,5570.575,5430
"          Bulgaria",91,"..","..","..","..",206,233,237,302,370,373,467,572,663,773,834,980,1176.07,1305.13,1458.12,1615.38,1794.87,2004.27,2182.05,2626.85,3269.11,3836.08,4690.997,5381.997,6351,7478,8869,10390,10700,11440,12140,12860,13310,14140,15850,17290,16220,5030,3760,3550,3580,4005,5355,4890,4940,4300,3979.431,4851.734,5117.665,5733.031,7543.091,9932.382,11739,15064.2,18518.284,22362.153,16318.393,20629.764081,28208.369932,26685.938,29580.11398,29245.80728,25370.97054,26572.4179,31437.16503,33151.05584
"          Burkina Faso","..","..",3,4.509,3.509,5.046,4.292,5.372,5.712,4.961,5.38,4.572,4.338,3.594,7.938,9.387000000000001,12.264,15.017,16.22,17.999,21.384,20.476,18.285,16.021,20.371,25.123,36.01,43.529,53.421,55.234,42.705,76.708,90.045,74.41500000000001,56.205,57.879,78.79600000000001,70.51600000000001,82.577,155.255,141.784,94.62300000000001,151.624,105.96,63.5758,69.4371,106.665,276.471,232.709,232.466,319.149,255,209,223,246.742,320.544,479.287,468,588,623,693.159,900.4930000000001,1591.028859,2398.986,2182.204833,2355.589018,2452.675174,2176.35094,2508.873025,2874.888551,3230.680787
"          Burundi","..","..",3,3,3,3,4,4,5,5,6,6,7,8,19.38,8.1,32.5,12.69,13.874,16.503,14.832,11.879,24.361,18.537,26.011,29.844,30.971,31.933,60.538,89.7,69.378,104,65.389,74.911,87.767,79.96299999999999,102.754,112.237,153.642,89.746,132.766,77.92100000000001,74.8276,90.7773,72.9404,61.9081,120.831,105.646,39.8809,86.5472,64.5671,54.3347,50.0227,38.52,30,37.678,46.907,58.006,58.284,58.836,57.44,67.392,101.193,123.496,133.503,94.213784,132,120.618919,124.522007,171.864985,160.667013
"          Cabo Verde",9.581,6.943,7.918,7.827,8.317,10.177,14.834,9.704000000000001,10.033,12.063,10.495,11.118,10.66,0.967,0.772,0.839,0.958,0.974,1.148,1.078,1.426,1.565,1.66,1.609,1.774,1.95,2.071,2.444,1.57,2.179,2.11,2.447,5,3,4,3,3,6,4,8,3,7,6,6,5,4,5,8.94332,12.6676,13.9026,10.431194764,11.44808796,11,10,10.54,12.742,15.094,17.615,20.651,19.219,31.982,35.12,44.497,68.547,56.358,68.913,80.35413800000001,66.824,59.821946,50.016902,75.577877
"          Cambodia","..","..",47,48,50,55,63,40.057,36.629,51.734,56.3,60.177,69.737,63.426,54.36,89.03400000000001,87.517,105.431,67.31699999999999,83.04600000000001,88.503,63.954,38.981,10.881,7.422,14.699,19,5,4,15,15,15,16,10,12,15,18,20,21,22,32,44,86,213,265,284,490,855,644,736,800,1129,1389.454739,1499.567,1923,2118,2798,3091.5,3692.38,4088.48,4708.01,4196.21,5143.216,6704.137,7838.101,6665.903,6846,8542.433999999999,10069.332,12089,14350
